symbol,orderType,underlyingPrice,orderLinkId,orderId,stopOrderType,execTime,feeCurrency,createType,feeRate,tradeIv,blockTradeId,markPrice,execPrice,markIv,orderQty,orderPrice,execValue,closedSize,execType,seq,side,indexPrice,leavesQty,isMaker,execFee,execId,marketUnit,execQty
MAVIAUSDT,UNKNOWN,,,8e4c739e-d01c-40ee-a83d-07a9c9096c2c,UNKNOWN,1742529600000,,,-0.00005,,,0.3415,0.3415,,0,0,68.3,0,Funding,177115097437,Sell,,0,False,-0.003415,ce4cbf45-aa93-4280-9cd0-432a77eda39c,,200
HYPEUSDT,UNKNOWN,,,4dbfe667-38b0-4c67-87d7-1d469e5d2684,UNKNOWN,1742515200000,,,0.0001,,,14.152,14.153,,0,0,990.71,0,Funding,24573981804,Buy,,0,False,0.099071,093bea95-d566-4828-a03d-6995735e36c1,,70
ETHUSDT,UNKNOWN,,,5e1e8e84-f685-451e-8208-9b317d38e344,UNKNOWN,1742515200000,,,-0.000068,,,1982.69,1982.92,,0,0,1586.336,0,Funding,239688544291,Sell,,0,False,-0.10787085,8ebafcf3-ecdd-4862-93f4-a1fe89b3792f,,0.8
MAVIAUSDT,UNKNOWN,,,262604ee-65c8-4325-9055-e9cf5877981c,UNKNOWN,1742515200000,,,-0.00005,,,0.3652,0.3652,,0,0,73.04,0,Funding,177099320581,Sell,,0,False,-0.003652,bc6b60f8-00b4-4201-8de7-e677531533a3,,200
MAVIAUSDT,UNKNOWN,,,4e6ee9b6-5870-4b37-b618-dfecaa95ebff,UNKNOWN,1742500800000,,,-0.00005,,,0.3699,0.3699,,0,0,73.98,0,Funding,177086860407,Sell,,0,False,-0.003699,eea4e561-4929-46f2-a8de-fc17bf74ab2f,,200
HYPEUSDT,Limit,,4b9484db-0e31-4afe-91ab-8b81384d3d55,8e02b7ff-a7db-46f0-82f5-49bc37831a60,UNKNOWN,1742488884760,,CreateByUser,0.0002,,,14.15,14.15,,35,14.15,495.25,0,Trade,24544493914,Buy,,0,True,0.09905,5126d3a4-13c1-5f2d-9f05-15bf38604a30,,35
DOGEUSDT,Limit,,6aa38843-37d1-4a4e-b6a0-ccb417a4fd73,81caafc3-d23b-471a-aaa9-58ccdca3771f,UNKNOWN,1742487306606,,CreateByUser,0.0002,,,0.16905,0.169,,2857,0.169,482.833,2857,Trade,219194248594,Buy,,0,True,0.0965666,2b292b3a-9d2a-52f5-9ec8-6961fee6585f,,2857
DOGEUSDT,UNKNOWN,,,84e86b2d-c797-4d46-a6fe-f277122118d6,UNKNOWN,1742486400000,,,0.000071,,,0.1696,0.16961,,0,0,484.57577,0,Funding,219190760191,Sell,,0,False,0.03482647,34c0c456-3735-44ba-9d62-6f4b8211a793,,2857
MAVIAUSDT,UNKNOWN,,,362a20c2-30e2-4138-8035-4558063012df,UNKNOWN,1742486400000,,,0.000073,,,0.3777,0.3777,,0,0,75.54,0,Funding,177063716393,Sell,,0,False,0.0055673,defc6838-411b-45c1-99cf-7986b247b271,,200
HYPEUSDT,UNKNOWN,,,c96e0515-855f-4839-9025-68b9d2e29329,UNKNOWN,1742486400000,,,0.0001,,,14.622,14.622,,0,0,511.77,0,Funding,24538172405,Buy,,0,False,0.051177,0c331dec-a84b-4179-8784-197a28eaea14,,35
